sample,omitted_sector,n_sites,top_n,spearman,kendall,top_overlap,top_mismatch_fraction,top_water_sites,top_terrain_sites
baseline 30-station subset,none,30,6,-0.34371523915461627,-0.25517241379310346,1,0.8333333333333334,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk
baseline 30-station subset,Denmark,29,6,-0.34482758620689646,-0.2561576354679802,1,0.8333333333333334,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk
baseline 30-station subset,France,19,4,-0.25789473684210523,-0.19298245614035084,1,0.75,cuxhaven-germany;immingham-p026-uk;milfordhaven-p056-uk;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;portpatrick-p063-uk;sheerness-p015-uk
baseline 30-station subset,Germany,29,6,-0.30197044334975365,-0.22660098522167485,2,0.6666666666666667,boulogne-sur-mer;dieppe;dunkerque;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk
baseline 30-station subset,Netherlands,27,6,-0.34493284493284493,-0.264957264957265,1,0.8333333333333334,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,dunkerque;portpatrick-p063-uk;saint-gildas;sheerness-p015-uk;tregde-006-norway;wick-p035-uk
baseline 30-station subset,Norway,29,6,-0.31970443349753686,-0.2364532019704433,1,0.8333333333333334,boulogne-sur-mer;cuxhaven-germany;dieppe;le-havre;roscoff;sheerness-p015-uk,delfzijl-del-nl;denhelder-hel-nl;dunkerque;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk
baseline 30-station subset,United Kingdom,17,4,-0.4264705882352942,-0.30882352941176466,0,1.0,boulogne-sur-mer;cuxhaven-germany;dieppe;roscoff,delfzijl-del-nl;denhelder-hel-nl;dunkerque;saint-gildas
eligible corr>=0.55 candidate pool,none,46,10,-0.26192605396523033,-0.19526343508355715,3,0.7,avonmouth-p060-uk;boulogne-sur-mer;calais;cuxhaven-germany;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk
eligible corr>=0.55 candidate pool,Denmark,45,9,-0.26542376245500243,-0.19909047513935327,2,0.7777777777777778,avonmouth-p060-uk;boulogne-sur-mer;calais;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk
eligible corr>=0.55 candidate pool,France,32,7,-0.29838709677419356,-0.22177419354838715,1,0.8571428571428572,avonmouth-p060-uk;cuxhaven-germany;dover-p012-uk;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;sheerness-p015-uk,cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk
eligible corr>=0.55 candidate pool,Germany,45,9,-0.24131229631984952,-0.18089946725860018,2,0.7777777777777778,avonmouth-p060-uk;boulogne-sur-mer;calais;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk
eligible corr>=0.55 candidate pool,Netherlands,43,9,-0.25121757861374566,-0.19058174669957434,3,0.6666666666666667,avonmouth-p060-uk;boulogne-sur-mer;calais;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;dunkerque;felixstowe-p204-uk;ilfracombe-p061-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk;wick-p035-uk
eligible corr>=0.55 candidate pool,Norway,45,9,-0.2510622880903485,-0.1849419134543231,2,0.7777777777777778,avonmouth-p060-uk;boulogne-sur-mer;calais;dieppe;heysham-p050-uk;hinkleypoint-p003-uk;ilfracombe-p061-uk;roscoff;sheerness-p015-uk,calais;cromer-p183-uk;delfzijl-del-nl;denhelder-hel-nl;dunkerque;felixstowe-p204-uk;newhaven-p011-uk;portpatrick-p063-uk;sheerness-p015-uk
eligible corr>=0.55 candidate pool,United Kingdom,20,4,-0.25423093185624024,-0.17414308638685846,1,0.75,boulogne-sur-mer;calais;dieppe;roscoff,calais;delfzijl-del-nl;denhelder-hel-nl;dunkerque
