station_id,station,country_or_provider,local_dtm_source,local_dtm_service_url,local_dtm_coverage_id,local_dtm_crs,local_dtm_vertical_datum_note,native_resolution_m,analysis_resolution_m,local_dtm_path,local_dtm_sha256,continuous_elevation_resampling,categorical_mask_resampling,connected_mask_resampling_for_iou,land_connectivity_neighbour_rule,iou_target_grid,local_grid_shape,local_grid_transform,delta_connected_2m_reference_land_pct,local_connected_2m_reference_land_pct,fraction_difference_local_minus_delta_pct_points,delta_below_2m_reference_land_pct,local_below_2m_reference_land_pct,delta_conditional_connectivity_2m_pct,local_conditional_connectivity_2m_pct,delta_connected_2m_area_km2,local_connected_2m_area_km2,area_difference_local_minus_delta_km2,connected_pixel_iou_after_reprojection,local_reference_land_area_km2,local_all_below_2m_area_km2,local_unconnected_2m_area_km2,local_valid_cells,local_ocean_cells_reprojected,local_river_cells_reprojected,local_lake_cells_reprojected,local_clipped_cells_reprojected,local_outside_support_cells_reprojected,marine_seed_status,marine_context_width_km,crosscheck_scope,label
sheerness-p015-uk,Sheerness,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\sheerness-p015-uk_local_dtm_10m.tif,40c81f2a969e0044184d5fb40ebc11728dca5376d2707386e29c90def027cadd,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,4,local DTM WCS grid,1043x1039,"| 10.00, 0.00, 585540.31|
| 0.00,-10.00, 180231.91|
| 0.00, 0.00, 1.00|",42.70017683098357,9.62959250581568,-33.07058432516789,45.71185250145477,28.63693884454913,93.41160879363758,33.62647299031618,20.36433158513328,4.612072810447154,-15.752258774686124,0.2146230642168949,47.89478690465612,13.7156008356135,9.103528025166346,963974,526817,0,4243,0,73739,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Sheerness
newlyn-p001-uk,Newlyn,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\newlyn-p001-uk_local_dtm_10m.tif,fef345c91868dd64e5a2e11180ad066b7a1f8ce92305cf26990d70fd0c9e51c2,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,4,local DTM WCS grid,1053x1049,"| 10.00, 0.00, 141581.74|
| 0.00,-10.00, 33709.54|
| 0.00, 0.00, 1.00|",0.4461096259513163,0.4166479132240703,-0.0294617127272459,0.4535157785697635,0.4211487394471699,98.3669470901754,98.93129770992364,0.2762932822932256,0.2591437252116847,-0.0171495570815409,0.5275478161575792,62.19729344289768,0.2619431173050208,0.0027993920933361,908730,385114,0,2860,0,94515,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Newlyn
lowestoft-p024-uk,Lowestoft P024 Uk,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\lowestoft-p024-uk_local_dtm_10m.tif,d95f97c91d4df295e6113b98fccbdab4d3bedac1a35c3751464e0b8e61ab2819,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,4,local DTM WCS grid,1057x643,"| 10.00, 0.00, 649567.19|
| 0.00,-10.00, 298024.03|
| 0.00, 0.00, 1.00|",1.4161572262689828,6.165253835504732,4.74909660923575,12.097037825193508,13.334766182237312,11.706644607820175,46.234435244295554,0.6695068487931946,2.928482435937039,2.2589755871438446,0.1109771553989304,47.49978693614149,6.333985524995372,3.4055030890583327,659813,140022,5456,4117,0,55477,resolved_local_ocean,10.0,elevation-product and native-datum sensitivity; vertical datums not harmonized; official DeltaDTM mask seed and fixed-window reference-land mask held constant,Lowestoft
immingham-p026-uk,Immingham P026 Uk,England Environment Agency,"Environment Agency LiDAR Composite DTM 2 m WCS, scaleFactor 0.2",https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-2m/wcs,09ea3b37-df3a-4e8b-ac69-fb0842227b04__Lidar_Composite_Elevation_DTM_2m,EPSG:27700,Ordnance Datum Newlyn / EA product native datum,2.0,10.0,data\raw\local_dtm\immingham-p026-uk_local_dtm_10m.tif,8567cb377b27480b51f3dbee6ff5501784f3eed237e0ec7e8058ff09789ed6e7,provider WCS scaleFactor to nominal 10 m; interpolation kernel controlled by provider service,nearest neighbour from DeltaDTM grid to local analysis grid,nearest neighbour from DeltaDTM grid to local analysis grid,4,local DTM WCS grid,1032x1027,"| 10.00, 0.00, 514917.85|
